CustomerID,Age,TenureMonths,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,Churn
C0001,56,11,,,One Year,None,Credit Card,1
C0002,56,11,44.7,528.06,Two Year,fiber,Bank Transfer,1
C0003,56,11,44.7,499.54,Month-to-Month,Fiber,Bank Transfer,0
C0004,56,11,44.7,,Month-to-Month,,Bank Transfer,0
C0005,56,11,44.7,493.79,Month-to-Month,Fiber,Mailed Check,0
C0006,56,11,44.7,472.51,Month-to-Month,Fiber,Mailed Check,0
C0007,56,11,44.7,529.19,Month-to-Month,DSL,Mailed Check,0
C0008,56,11,44.7,446.25,Month-to-Month,DSL,Credit Card,0
C0009,56,11,44.7,471.14,,DSL,Credit Card,1
C0010,56,11,44.7,487.15,Month-to-Month,Fiber,Bank Transfer,0
C0011,56,,,,One Year,,Mailed Check,1
C0012,56,,44.7,-33.5,Two Year,Fiber,Mailed Check,1
C0013,,11,44.7,,One Year,Fiber,Mailed Check,1
C0014,56,11,44.7,528.77,Month-to-Month,Fiber,Credit Card,0
C0015,unknown,,44.7,41.62,Two Year,DSL,Bank Transfer,1
C0016,56,11,,,One Year,fiber,Bank Transfer,1
C0017,56,11,44.7,526.1,Two Year,DSL,Credit Card,1
C0018,56,,44.7,-12.4,Two Year,None,Credit Card,1
C0019,56,11,,,,Fiber,Mailed Check,1
C0020,56,11,44.7,499.51,One Year,DSL,Credit Card,1
C0021,56,11,,,Month-to-Month,DSL,Credit Card,0
C0022,56,,44.7,0.98,One Year,DSL,Credit Card,1
C0023,unknown,,44.7,-22.75,Month-to-Month,Fiber,Mailed Check,1
C0024,56,,44.7,-6.91,month-to-month,DSL,Bank Transfer,1
C0025,56,11,44.7,463.97,Month-to-Month,DSL,Bank Transfer,0
C0026,56,11,,,Month-to-Month,None,Mailed Check,0
C0027,56,11,44.7,458.45,Two Year,DSL,Credit Card,1
C0028,unknown,11,44.7,441.86,One Year,Fiber,Bank Transfer,1
C0029,56,11,44.7,439.28,Month-to-Month,DSL,Credit Card,0
C0030,,11,44.7,487.86,Month-to-Month,Fiber,Credit Card,0
C0031,56,11,44.7,494.33,month-to-month,fiber,Mailed Check,0
C0032,56,11,,,Month-to-Month,DSL,Mailed Check,0
C0033,56,11,44.7,,month-to-month,Fiber,Credit Card,0
C0034,,11,44.7,503.58,Month-to-Month,,Credit Card,0
C0035,56,11,44.7,497.62,Two Year,DSL,Bank Transfer,1
C0036,56,11,44.7,467.32,Two Year,Fiber,Credit Card,1
C0037,56,11,44.7,527.4,Month-to-Month,DSL,Credit Card,0
C0038,56,11,44.7,522.11,Month-to-Month,Fiber,Credit Card,0
C0039,56,11,,,Month-to-Month,None,Credit Card,0
C0040,56,11,44.7,522.23,Two Year,None,Mailed Check,1
C0041,56,11,44.7,499.84,One Year,,Credit Card,1
C0042,56,11,44.7,508.24,One Year,DSL,Credit Card,1
C0043,56,11,,,Month-to-Month,DSL,Bank Transfer,0
C0044,56,11,44.7,501.92,Month-to-Month,None,Mailed Check,0
C0045,56,11,44.7,465.76,Month-to-Month,Fiber,Credit Card,0
C0046,56,11,44.7,,Month-to-Month,DSL,Credit Card,0
C0047,56,11,44.7,542.56,One Year,DSL,Credit Card,1
C0048,56,11,44.7,508.86,month-to-month,Fiber,Mailed Check,0
C0049,56,11,44.7,489.83,One Year,Fiber,Bank Transfer,1
C0050,56,11,44.7,508.64,Month-to-Month,fiber,Mailed Check,0
C0051,56,11,44.7,461.11,,fiber,,0
C0052,56,,,,Two Year,Fiber,Mailed Check,0
C0053,56,11,44.7,,month-to-month,Fiber,Bank Transfer,1
C0054,,,44.7,6.76,One Year,Fiber,Bank Transfer,0
C0055,56,11,44.7,480.61,Month-to-Month,fiber,Credit Card,1
C0056,56,11,44.7,478.6,Month-to-Month,Fiber,,1
C0057,56,11,44.7,443.5,Two Year,None,Credit Card,0
C0058,56,11,44.7,,Month-to-Month,Fiber,Credit Card,1
C0059,unknown,11,44.7,538.75,Month-to-Month,DSL,Bank Transfer,1
C0060,56,11,44.7,530.41,One Year,Fiber,Credit Card,0
C0061,56,,44.7,10.78,One Year,None,Bank Transfer,0
C0062,56,11,44.7,,One Year,Fiber,Bank Transfer,0
C0063,56,11,44.7,508.74,Month-to-Month,DSL,Bank Transfer,1
C0064,unknown,11,44.7,464.21,Month-to-Month,Fiber,Mailed Check,1
C0065,56,11,44.7,,One Year,None,Credit Card,0
C0066,56,11,44.7,466.75,,fiber,Bank Transfer,0
C0067,56,11,44.7,540.15,Two Year,Fiber,Bank Transfer,0
C0068,56,11,44.7,,month-to-month,fiber,Bank Transfer,1
C0069,56,11,44.7,521.61,Two Year,DSL,Mailed Check,0
C0070,56,11,44.7,506.69,One Year,Fiber,Credit Card,0
